,logFC,AveExpr,t,P.Value,adj.P.Val,B,Mean_NT,Mean_Angptl3,log2FC_Angptl3_vs_NT
Kif5a,-0.034275456,1.605290645,-0.228438345,0.822738511,0.93697026,-6.219626782,2.187509,2.1361508,-0.034275456
Etfb,-0.034276777,4.587042943,-0.414874503,0.684768584,0.879068502,-6.158104635,23.74902333,23.191424,-0.034276777
Npr2,-0.034294057,5.467741247,-0.22055847,0.828745634,0.939878413,-6.221450222,42.48787667,41.489814,-0.034294057
Il3ra,-0.034408548,1.448036964,-0.132940608,0.896206767,0.967141873,-6.237434217,1.829524367,1.7864061,-0.034408548
Zfp780b,-0.034544822,1.273765306,-0.150074988,0.882930424,0.963193949,-6.234929153,1.440299667,1.40622182,-0.034544822
Bag5,-0.034632594,4.064256567,-0.38106706,0.70909887,0.889067105,-6.171858643,16.28298667,15.89676,-0.034632594
Cbarp,-0.034756008,1.053353899,-0.124902285,0.902446596,0.969772686,-6.238505185,1.1607074,1.1330789,-0.034756008
Cobl,-0.034792356,3.755499714,-0.174497914,0.864070841,0.953701313,-6.230836198,14.27113567,13.9310866,-0.034792356
Dnajc25,-0.034871063,3.60317842,-0.323924764,0.750971985,0.907480776,-6.192502456,11.65233467,11.3740652,-0.034871063
Lsg1,-0.034911308,3.496158856,-0.285368297,0.77970487,0.919968826,-6.204570297,10.90227167,10.6416176,-0.034911308
Tpgs1,-0.035037682,5.107859318,-0.434527541,0.670788478,0.872542581,-6.14958623,33.97754,33.162292,-0.035037682
Gm15500,-0.035067028,3.223258728,-0.237667532,0.815717483,0.934185291,-6.217410391,8.475741333,8.2722084,-0.035067028
Aqp9,-0.035221041,7.827572285,-0.380656668,0.709396327,0.889149079,-6.172018592,228.4805,222.97006,-0.035221041
Hdac8,-0.035235309,1.180473736,-0.154651135,0.879390678,0.961348331,-6.234208965,1.2376292,1.2077684,-0.035235309
Card10,-0.035282751,3.062283931,0.010868185,0.991488008,0.99844609,-6.246510699,7.696414,7.5104724,-0.035282751
Gosr2,-0.035313328,5.555747751,-0.268874715,0.792102245,0.925037413,-6.209272091,45.68913,44.584358,-0.035313328
Wrn,-0.035364341,2.049896255,-0.146187094,0.885939846,0.964603374,-6.235524087,3.221305333,3.1433024,-0.035364341
Btf3,-0.035406603,6.90040471,-0.457253696,0.65477958,0.8662966,-6.139258856,126.8172667,123.7428,-0.035406603
Nudt21,-0.035410822,3.27712611,-0.370648875,0.716665295,0.892649082,-6.175866905,8.890780667,8.6752136,-0.035410822
Wars2,-0.03544928,1.524964706,-0.148258567,0.884336192,0.963990717,-6.235209042,1.948637,1.9013394,-0.03544928
Ascc1,-0.03552636,3.662566299,-0.255446209,0.802239399,0.928626176,-6.212895709,11.603643,11.3213928,-0.03552636
Cep295,-0.035535357,0.711165469,-0.148098747,0.8844599,0.963998645,-6.235233506,0.6369195,0.62142302,-0.035535357
Tmbim4,-0.035536117,5.675939333,-0.505511701,0.621373634,0.8507639,-6.115643363,51.44166667,50.190046,-0.035536117
Mvb12b,-0.03557893,0.633505224,-0.045579445,0.964314575,0.990945359,-6.245497041,0.5111662,0.49871428,-0.03557893
Ctnnb1,-0.035635915,6.161114323,-0.241365657,0.81290875,0.933485473,-6.216497867,72.63758,70.865342,-0.035635915
Chmp1a,-0.035653286,5.252868475,-0.450392828,0.659594411,0.868166654,-6.142430394,36.96700667,36.064638,-0.035653286
Pex2,-0.03570715,5.396994415,-0.404102983,0.692482667,0.881542523,-6.162610578,42.65652,41.613716,-0.03570715
Lsm4,-0.035779584,5.496992482,-0.431765964,0.672745412,0.873850071,-6.150806347,44.52677,43.436064,-0.035779584
Rpl10,-0.035931702,8.831621326,-0.565250545,0.581200758,0.833232659,-6.083265759,471.1782333,459.58802,-0.035931702
Mir7664,-0.035935405,1.949786677,0.711226695,0.489083232,0.782528791,-5.989830056,3.298902667,3.2177468,-0.035935405
Fhip1b,-0.035936098,2.62608282,-0.149387494,0.883462443,0.963488951,-6.235035487,5.278624,5.1487628,-0.035936098
Eef2kmt,-0.035949264,2.753452633,-0.352268683,0.730089755,0.897657988,-6.182673014,5.83406,5.6904824,-0.035949264
Akap9,-0.035987322,2.312750719,-0.168218208,0.868912337,0.955956106,-6.231947174,4.052998333,3.9531488,-0.035987322
Tex2,-0.036119716,5.768942647,-0.23757697,0.815786298,0.934185291,-6.217432563,54.51336667,53.165498,-0.036119716
Plscr2,-0.036315476,3.584890968,-0.296388751,0.7714558,0.915928823,-6.201274724,11.52758067,11.2410304,-0.036315476
Iscu,-0.036338657,6.44123822,-0.375789965,0.712927534,0.891037233,-6.173902523,85.20005667,83.080836,-0.036338657
Ddah2,-0.036441734,1.794646825,-0.277959541,0.785266155,0.922201773,-6.206716507,2.435537333,2.3747874,-0.036441734
Nrd1,-0.036495315,4.58163096,-0.328405031,0.747657106,0.905275141,-6.191002638,23.80865667,23.213932,-0.036495315
Nrep,-0.036502903,4.572442381,0.412885234,0.686190486,0.88003197,-6.158945481,20.74824233,20.2298584,-0.036502903
Csnk2a2,-0.036504167,2.952982883,-0.296702139,0.771221636,0.915821208,-6.201179206,6.987893,6.8132982,-0.036504167
Kti12,-0.036736565,4.013344706,-0.280763615,0.783159857,0.921507912,-6.205910767,15.67139,15.277374,-0.036736565
Pnkd,-0.036755466,4.460175876,-0.315599915,0.757144992,0.90951472,-6.195235446,21.86770333,21.317618,-0.036755466
Tor1aip2,-0.036780114,5.333421389,-0.313249447,0.758891054,0.910270289,-6.195994405,41.80797,40.755588,-0.036780114
Raf1,-0.036797301,3.416626897,-0.175827843,0.863046222,0.953403586,-6.230595714,10.17138667,9.9152364,-0.036797301
Efemp2,-0.036864633,1.763936419,0.042236989,0.966929741,0.991871759,-6.245648882,2.55885,2.494293,-0.036864633
Ercc2,-0.036875946,2.639127479,-0.206141609,0.839764829,0.94515202,-6.224621861,5.241912,5.1096242,-0.036875946
Anapc2,-0.036923545,4.8401135,-0.405828186,0.691244731,0.881181424,-6.161896661,27.91525667,27.209874,-0.036923545
Zfp523,-0.037080207,4.016891075,-0.320688625,0.75336955,0.908214765,-6.193573179,15.49904333,15.105762,-0.037080207
Prkacb,-0.037106308,3.567392147,-0.202852684,0.842283648,0.946151211,-6.225315585,10.910852,10.6338016,-0.037106308
Fbxl6,-0.03714197,4.195224099,-0.351015886,0.731008195,0.89798119,-6.183124564,17.59158667,17.144474,-0.03714197
Pcnp,-0.037152882,4.868154528,-0.305904752,0.76435591,0.912123503,-6.198329959,30.05194,29.28791,-0.037152882
Tle5,-0.037211917,8.373013286,-0.629475396,0.539573005,0.808887053,-6.044631985,328.6200667,320.25224,-0.037211917
Mex3d,-0.037225095,2.018168277,0.194591887,0.848618046,0.948840328,-6.227009108,3.138344667,3.0584034,-0.037225095
Herc1,-0.037235682,2.04720676,0.00047395,0.999628794,0.999815471,-6.246571694,3.232865667,3.1504936,-0.037235682
Atp13a3,-0.037385653,5.051934083,-0.293829583,0.773368873,0.917453535,-6.202051006,34.66075667,33.774104,-0.037385653
Pot1b,-0.037435334,1.114224525,-0.036006897,0.971805251,0.993624366,-6.245901059,1.339380967,1.30507348,-0.037435334
Rundc1,-0.037444089,3.531053792,-0.298526666,0.769858815,0.9149691,-6.20062113,11.057305,10.774013,-0.037444089
Cdhr5,-0.037463516,6.589819234,-0.269613072,0.791545977,0.924975384,-6.209067524,97.80676667,95.29964,-0.037463516
Xpc,-0.037488594,3.102840674,-0.240166372,0.813819317,0.933653553,-6.216795325,7.703350667,7.5057566,-0.037488594
Pcolce,-0.037489253,2.905740469,-0.101692858,0.920499393,0.976896606,-6.24122346,7.374120667,7.1849682,-0.037489253
Tmem63a,-0.037677589,3.268492114,-0.173483577,0.86485249,0.954036432,-6.231018394,8.886223,8.6571536,-0.037677589
Sufu,-0.03768428,1.626324523,-0.195522543,0.847903863,0.948668181,-6.226821814,2.207252,2.1503434,-0.03768428
Tnpo2,-0.037812492,3.70438107,-0.018274024,0.985688289,0.997631068,-6.246399038,12.28537333,11.9675614,-0.037812492
Wdr83os,-0.037830739,5.349351493,-0.36833436,0.718350512,0.893352311,-6.17674262,39.82633333,38.79557,-0.037830739
Nrgn,-0.037882991,1.647321227,0.07424124,0.941910157,0.983601593,-6.243720726,2.545218033,2.4792543,-0.037882991
Btnl9,-0.037903397,1.357837382,0.240355098,0.813676007,0.933653553,-6.216748613,1.693388467,1.64947804,-0.037903397
Zfyve9,-0.037930349,3.235620513,-0.395386922,0.698750904,0.884400034,-6.166172061,8.459090667,8.2395882,-0.037930349
Borcs5,-0.037960189,2.840086661,-0.31493242,0.757640705,0.909682066,-6.195451546,6.278529,6.1154828,-0.037960189
Hs2st1,-0.038038558,2.308648089,-0.062904661,0.95076674,0.986458687,-6.244524841,4.110615667,4.0036502,-0.038038558
Gbp8,-0.038089356,1.397828891,0.051883605,0.959383339,0.989066174,-6.245179208,1.888273233,1.83907228,-0.038089356
Arpc5,-0.038158781,6.269200082,-0.31038735,0.761019034,0.911159817,-6.196911021,78.45175,76.40393,-0.038158781
Pilrb1,-0.038180144,1.269807136,0.059208163,0.953656116,0.986786356,-6.244758315,1.7019671,1.65751624,-0.038180144
Rnf130,-0.038276708,6.487602854,-0.649731672,0.526796008,0.802605956,-6.031635535,90.28206667,87.918254,-0.038276708
Noc4l,-0.038356528,3.774923402,-0.328429748,0.747638832,0.905275141,-6.190994308,13.24177167,12.8943552,-0.038356528
Srrm1,-0.038367851,4.569808838,-0.129150044,0.899148366,0.968266935,-6.237947543,23.14785333,22.54036,-0.038367851
Pamr1,-0.038395684,1.409273677,-0.198203965,0.845846927,0.947817937,-6.226277215,1.786462033,1.73954448,-0.038395684
Fpgt,-0.03855294,2.433247784,-0.326536714,0.749038817,0.906574336,-6.191630541,4.819625333,4.6925368,-0.03855294
Sfpq,-0.038606149,5.5431655,-0.341999184,0.737631047,0.900666648,-6.186327907,47.77777,46.516204,-0.038606149
Ndufv1,-0.03865718,6.794646181,-0.560944787,0.584050618,0.834593153,-6.085714765,110.8933067,107.961364,-0.03865718
Nme4,-0.038681051,1.541784231,-0.259726021,0.799004448,0.927767462,-6.211760763,1.856383567,1.80727216,-0.038681051
Dgat2,-0.038758947,8.771868219,-0.310745826,0.760752395,0.911050313,-6.196796669,432.6042667,421.1368,-0.038758947
Srrt,-0.038786837,4.889874232,-0.395200378,0.698885312,0.884400034,-6.166247456,30.89152333,30.07207,-0.038786837
Gm48909,-0.038904645,0.561488523,-0.342526717,0.737242964,0.90061211,-6.186142746,0.460887733,0.44862522,-0.038904645
Ndufab1,-0.038928415,3.889115329,-0.386944203,0.70484448,0.886840704,-6.169549558,14.36052667,13.978216,-0.038928415
Mup-ps19,-0.038956895,5.256944166,-0.282216188,0.782069443,0.921070258,-6.205490233,38.75451,37.72203,-0.038956895
Zwint,-0.039039962,4.684952702,-0.408117725,0.689603271,0.880943126,-6.160944634,25.51681333,24.835576,-0.039039962
Fbh1,-0.03909561,3.454729528,-0.308409245,0.762490942,0.911817741,-6.197539685,10.265094,9.9906554,-0.03909561
Glyr1,-0.039159912,4.568341231,-0.346556101,0.734281195,0.899417381,-6.184719209,23.27782333,22.654478,-0.039159912
Asnsd1,-0.03919823,1.573211834,-0.229967178,0.821574352,0.936607136,-6.219265648,2.033843667,1.9793278,-0.03919823
Ltb4r1,-0.039232664,1.508470565,0.197289888,0.84654799,0.948020836,-6.226463693,2.038568567,1.9838787,-0.039232664
